question_id,image_id,category,question,answer,audit_status,audit_reason,auditor
17848501,2363956,color,What color do you think the figure is?,green,reject,"Critical object is too small, distant, occluded, or weakly visible for a reliable localized intervention.",codex_visual_audit
08365426,2362675,identity,What is the color of the pillow in the bottom part of the photo?,gray,reject,"Critical object is too small, distant, occluded, or weakly visible for a reliable localized intervention.",codex_visual_audit
1168027,1575,color,What color is the garage?,white,reject,"Critical object is too small, distant, occluded, or weakly visible for a reliable localized intervention.",codex_visual_audit
08198301,2387143,color,What color is the leather couch?,white,reject,"Critical object is too small, distant, occluded, or weakly visible for a reliable localized intervention.",codex_visual_audit
10472187,463,material,What's the sidewalk made of?,brick,reject,"Box is too broad or fragmentary, or substantial equivalent evidence remains visible outside it.",codex_visual_audit
1771040,2411252,material,How large is the bench made of wood?,small,reject,"Critical object is too small, distant, occluded, or weakly visible for a reliable localized intervention.",codex_visual_audit
1861677,2323457,material,What's the fence made of?,wood,reject,"Box is too broad or fragmentary, or substantial equivalent evidence remains visible outside it.",codex_visual_audit
03353804,2401863,identity,What kind of furniture is not stained?,chair,reject,Box is misplaced or captures content that does not correspond to the named critical object.,codex_visual_audit
0832901,2414605,color,What color is the rubber boot?,red,reject,"Critical object is too small, distant, occluded, or weakly visible for a reliable localized intervention.",codex_visual_audit
16481406,2335246,color,What color is the screen that is on the right side?,green,reject,"Critical object is too small, distant, occluded, or weakly visible for a reliable localized intervention.",codex_visual_audit
14266380,529,material,Is the brown floor made of cement?,no,reject,"Box is too broad or fragmentary, or substantial equivalent evidence remains visible outside it.",codex_visual_audit
06970679,2374309,identity,What is the white item of furniture in this image?,chair,reject,Box is misplaced or captures content that does not correspond to the named critical object.,codex_visual_audit
0693401,2370435,material,What material is that sink made of?,metal,reject,Box is misplaced or captures content that does not correspond to the named critical object.,codex_visual_audit
06347645,2395361,material,What is the cutting board made of?,plastic,reject,Box is misplaced or captures content that does not correspond to the named critical object.,codex_visual_audit
02590871,2320327,color,The appliance that is on the left is what color?,silver,reject,Box is misplaced or captures content that does not correspond to the named critical object.,codex_visual_audit
05687840,2385306,color,What color is the vehicle in the top?,silver,reject,Box is misplaced or captures content that does not correspond to the named critical object.,codex_visual_audit
09298902,2357363,material,Is the sidewalk made of brick narrow or wide?,wide,reject,"Box is too broad or fragmentary, or substantial equivalent evidence remains visible outside it.",codex_visual_audit
19457284,2397532,identity,What is the color of the container that is not little?,white,reject,"Critical object is too small, distant, occluded, or weakly visible for a reliable localized intervention.",codex_visual_audit
03618696,2411522,material,What is the brown floor made of?,wood,reject,"Box is too broad or fragmentary, or substantial equivalent evidence remains visible outside it.",codex_visual_audit
1399382,498126,color,What color is the floor?,gray,reject,"Box is too broad or fragmentary, or substantial equivalent evidence remains visible outside it.",codex_visual_audit
03102024,2384976,material,What is the patio made of?,wood,reject,Box is misplaced or captures content that does not correspond to the named critical object.,codex_visual_audit
00945744,2391364,color,What color is the drink?,brown,reject,"Critical object is too small, distant, occluded, or weakly visible for a reliable localized intervention.",codex_visual_audit
19540103,2375878,color,What color is the countertop?,gray,reject,"Box is too broad or fragmentary, or substantial equivalent evidence remains visible outside it.",codex_visual_audit
